Date,Open,High,Low,Volume,Close
2019-01-23,328.25,331.75,318.600006,13480100,321.98999
2019-01-24,320.600006,331.799988,319.0,11131600,326.670013
2019-01-25,328.720001,340.0,328.51001,11152900,338.049988
2019-01-28,334.700012,336.299988,328.880005,8652100,335.660004
2019-01-29,335.869995,338.220001,328.149994,7655200,328.899994
2019-01-30,332.75,341.779999,330.799988,9234500,340.660004
2019-01-31,339.679993,345.98999,338.089996,8535500,339.5
2019-02-01,337.179993,346.839996,336.5,9827800,339.850006
2019-02-04,342.600006,352.0,341.299988,9051400,351.339996
2019-02-05,353.200012,360.0,352.899994,9046600,355.809998
2019-02-06,357.0,357.040009,347.190002,6717700,352.190002
2019-02-07,347.899994,348.75,339.019989,7864500,344.709991
2019-02-08,338.0,348.0,338.0,7561400,347.570007
2019-02-11,350.0,352.869995,344.809998,5454900,345.730011
2019-02-12,348.089996,360.0,346.519989,10429400,359.970001
2019-02-13,357.299988,359.600006,350.279999,10559100,351.769989
2019-02-14,351.75,360.450012,348.329987,9295300,359.070007
2019-02-15,358.470001,364.399994,355.5,9230000,356.869995
2019-02-19,355.799988,365.0,355.320007,7396600,361.920013
2019-02-20,364.850006,366.709991,356.700012,8110700,359.910004
2019-02-21,360.029999,362.850006,353.880005,6227900,356.970001
2019-02-22,360.339996,366.130005,360.049988,7088200,363.019989
2019-02-25,367.01001,371.48999,363.790009,7569300,363.910004
2019-02-26,362.980011,365.700012,359.329987,4944600,364.970001
2019-02-27,363.5,368.029999,359.799988,5629900,362.869995
2019-02-28,362.470001,366.390015,357.709991,6186800,358.100006
2019-03-01,362.26001,362.869995,354.690002,5526500,357.320007
2019-03-04,359.720001,362.25,348.040009,7487000,351.040009
2019-03-05,351.459991,356.170013,348.25,5937800,354.299988
2019-03-06,353.600006,359.880005,351.700012,6211900,359.609985
2019-03-07,360.160004,362.859985,350.5,6151300,352.600006
2019-03-08,345.75,349.920013,342.470001,6898800,349.600006
2019-03-11,352.0,358.980011,350.029999,5387300,358.859985
2019-03-12,359.369995,360.130005,353.799988,5164600,356.269989
2019-03-13,355.809998,362.480011,352.769989,6444100,361.209991
2019-03-14,360.5,363.839996,358.100006,5271400,358.820007
2019-03-15,361.019989,364.0,358.890015,8444500,361.459991
2019-03-18,362.470001,370.970001,361.859985,7194700,363.440002
2019-03-19,366.399994,366.959991,356.799988,7541400,358.779999
2019-03-20,358.910004,375.899994,357.01001,10917200,375.220001
2019-03-21,374.0,379.0,370.609985,8544000,377.869995
2019-03-22,375.950012,376.429993,360.040009,8661300,361.01001
2019-03-25,359.0,367.040009,357.440002,8473800,366.230011
2019-03-26,367.869995,368.380005,358.019989,7666500,359.970001
2019-03-27,361.0,362.470001,350.369995,7852400,353.369995
2019-03-28,354.48999,355.940002,349.200012,4361000,354.609985
2019-03-29,357.160004,358.25,353.709991,4705600,356.559998
2019-04-01,359.0,368.329987,358.51001,7036100,366.959991
2019-04-02,366.25,368.420013,362.220001,5158700,367.720001
2019-04-03,369.26001,373.410004,366.190002,5368900,369.75
2019-04-04,370.070007,372.049988,362.399994,4627300,367.880005
2019-04-05,369.0,369.799988,364.660004,3905500,365.48999
2019-04-08,365.109985,365.940002,359.929993,4653800,361.410004
2019-04-09,360.540009,366.73999,359.0,5439200,364.709991
2019-04-10,365.790009,368.850006,362.25,4545600,363.920013
2019-04-11,365.0,370.119995,360.809998,6526900,367.649994
2019-04-12,360.690002,361.75,349.359985,15646200,351.140015
2019-04-15,350.709991,352.209991,342.269989,8842300,348.869995
2019-04-16,355.0,364.480011,352.720001,18740200,359.459991
2019-04-17,365.049988,368.76001,350.600006,18054100,354.73999
2019-04-18,355.0,360.410004,351.640015,8353200,360.350006
2019-04-22,359.700012,377.690002,359.0,11980500,377.339996
2019-04-23,375.450012,384.799988,374.709991,10089800,381.890015
2019-04-24,381.070007,381.899994,373.269989,6541900,374.230011
2019-04-25,374.48999,374.76001,365.700012,6255500,368.329987
2019-04-26,368.350006,375.140015,366.23999,5621900,374.850006
2019-04-29,373.679993,374.579987,369.119995,3821700,371.829987
2019-04-30,369.559998,374.5,368.350006,3870100,370.540009
2019-05-01,374.0,385.98999,373.170013,9257300,378.809998
2019-05-02,378.0,383.5,374.51001,5398200,379.059998
2019-05-03,381.529999,385.029999,378.269989,5130300,385.029999
2019-05-06,377.690002,381.350006,376.0,5793100,378.670013
2019-05-07,377.0,379.910004,365.809998,6974900,370.459991
2019-05-08,367.920013,369.0,361.359985,6572000,364.369995
2019-05-09,360.899994,364.200012,352.75,5882600,362.75
2019-05-10,361.619995,365.26001,353.059998,5657100,361.040009
2019-05-13,352.290009,354.26001,343.100006,8026700,345.26001
2019-05-14,348.709991,349.950012,342.5,5353000,345.609985
2019-05-15,343.339996,356.5,341.390015,6340100,354.98999
2019-05-16,356.369995,364.0,353.940002,6441500,359.309998
2019-05-17,356.390015,359.619995,353.790009,4725400,354.450012
2019-05-20,351.230011,352.420013,345.399994,4621500,348.109985
2019-05-21,350.950012,356.429993,349.929993,4026400,354.269989
2019-05-22,358.01001,370.459991,357.299988,6229400,359.730011
2019-05-23,355.5,357.420013,347.700012,5630400,352.209991
2019-05-24,355.410004,359.440002,353.790009,3831000,354.390015
2019-05-28,354.390015,361.200012,353.649994,4717100,355.059998
2019-05-29,353.600006,353.850006,345.899994,5658900,349.190002
2019-05-30,350.549988,354.209991,348.299988,4008000,351.850006
2019-05-31,347.220001,349.339996,342.920013,5023400,343.279999
2019-06-03,343.559998,347.660004,332.649994,7849600,336.630005
2019-06-04,345.0,353.609985,343.25,7891600,353.399994
2019-06-05,354.380005,357.880005,348.709991,5020100,355.730011
2019-06-06,354.839996,358.209991,352.089996,3710000,357.130005
2019-06-07,357.390015,365.149994,355.690002,4777300,360.869995
2019-06-10,363.649994,367.100006,349.290009,7810300,352.01001
2019-06-11,355.0,357.579987,348.5,5396700,351.269989
2019-06-12,351.820007,353.609985,343.230011,4584700,345.559998
2019-06-13,347.230011,348.5,339.25,6209300,343.429993
2019-06-14,341.630005,343.399994,336.160004,5019000,339.730011
2019-06-17,342.690002,351.769989,342.059998,5358200,350.619995
2019-06-18,355.570007,361.5,353.75,5428500,357.119995
2019-06-19,361.720001,364.73999,356.119995,5667200,363.519989
2019-06-20,365.910004,370.119995,361.220001,5899500,365.209991
2019-06-21,365.0,371.450012,365.0,7448400,369.209991
2019-06-24,370.269989,375.0,370.200012,4830200,371.040009
2019-06-25,370.75,371.0,358.290009,5750400,360.299988
2019-06-26,361.600006,366.790009,361.600006,3669700,362.200012
2019-06-27,363.200012,370.850006,363.200012,4138600,370.019989
2019-06-28,370.26001,371.540009,364.869995,4592700,367.320007
2019-07-01,373.5,376.660004,372.0,4992600,374.600006
2019-07-02,374.890015,376.0,370.309998,3625000,375.429993
2019-07-03,376.690002,381.98999,375.839996,3799000,381.720001
2019-07-05,378.290009,381.399994,375.559998,3732200,380.549988
2019-07-08,378.190002,378.25,375.359985,3113400,376.160004
2019-07-09,379.059998,384.76001,377.5,6932800,379.929993
2019-07-10,382.769989,384.339996,362.679993,5878800,381.0
2019-07-11,381.100006,384.540009,378.799988,4336300,379.5
2019-07-12,378.679993,379.73999,372.790009,6636900,373.25
2019-07-15,372.940002,373.679993,362.299988,7944700,366.600006
2019-07-16,370.089996,371.339996,364.920013,5863200,365.98999
2019-07-17,366.25,366.5,361.75,13639500,362.440002
2019-07-18,323.76001,329.850006,320.299988,31287100,325.209991
2019-07-19,323.399994,325.850006,314.230011,16302500,315.100006
2019-07-22,312.0,314.540009,305.809998,17718000,310.619995
2019-07-23,311.440002,313.5,306.0,9171100,307.299988
2019-07-24,310.51001,319.98999,307.25,11961800,317.940002
2019-07-25,318.859985,327.690002,316.299988,10798500,326.459991
2019-07-26,328.790009,336.0,327.5,10847500,335.779999
2019-07-29,335.980011,336.399994,328.769989,5782800,332.700012
2019-07-30,329.200012,329.649994,323.230011,6029300,325.929993
2019-07-31,325.160004,331.769989,318.529999,6259500,322.98999
2019-08-01,324.25,328.579987,318.73999,6563200,319.5
2019-08-02,317.48999,319.410004,311.799988,6280300,318.829987
2019-08-05,310.959991,313.420013,304.679993,8692500,307.630005
2019-08-06,310.579987,311.880005,305.299988,6179100,310.100006
2019-08-07,302.559998,305.0,296.809998,9322400,304.290009
2019-08-08,311.029999,316.359985,306.630005,5905900,315.899994
2019-08-09,313.73999,316.640015,305.679993,5349100,308.929993
2019-08-12,305.459991,312.890015,303.23999,6531700,310.829987
2019-08-13,309.769989,316.429993,308.160004,5289400,312.279999
2019-08-14,308.01001,308.410004,298.01001,7355800,299.109985
2019-08-15,299.5,300.630005,288.0,9629200,295.76001
2019-08-16,298.859985,303.549988,296.269989,6905800,302.799988
2019-08-19,306.25,311.75,304.75,4942200,309.380005
2019-08-20,304.570007,305.0,297.679993,7349900,298.98999
2019-08-21,301.609985,302.880005,296.200012,5685400,297.809998
2019-08-22,298.649994,300.329987,293.149994,4974200,296.929993
2019-08-23,295.0,299.01001,290.320007,6324900,291.440002
2019-08-26,295.23999,296.950012,292.5,4695700,294.980011
2019-08-27,294.540009,296.769989,287.200012,6309400,291.029999
2019-08-28,289.470001,292.820007,287.75,3955700,291.769989
2019-08-29,295.0,299.929993,294.98999,4388500,296.779999
2019-08-30,298.779999,298.940002,290.850006,4446400,293.75
2019-09-03,290.820007,293.899994,288.059998,3682800,289.290009
2019-09-04,291.25,292.380005,286.51001,4652500,291.519989
2019-09-05,285.320007,293.970001,282.790009,8966800,293.25
2019-09-06,293.350006,293.350006,287.029999,5166600,290.170013
2019-09-09,294.809998,301.549988,290.600006,8232700,294.339996
2019-09-10,291.160004,297.170013,282.660004,12320200,287.98999
2019-09-11,285.700012,292.649994,284.609985,7405900,288.269989
2019-09-12,288.100006,292.730011,286.600006,5010900,288.859985
2019-09-13,290.609985,296.619995,290.040009,6583100,294.149994
2019-09-16,294.230011,297.429993,289.779999,5307400,294.290009
2019-09-17,294.5,299.149994,291.790009,4777100,298.600006
2019-09-18,294.98999,296.049988,287.450012,7811100,291.559998
2019-09-19,291.559998,293.809998,283.399994,8461300,286.600006
2019-09-20,280.26001,282.5,266.0,23832800,270.75
2019-09-23,268.350006,273.390015,261.890015,13478600,265.920013
2019-09-24,262.5,265.0,252.279999,16338200,254.589996
2019-09-25,255.710007,266.600006,253.699997,11643800,264.75
2019-09-26,266.420013,268.049988,260.200012,7684000,263.309998
2019-09-27,266.179993,267.440002,260.390015,7328300,263.079987
2019-09-30,264.0,268.880005,262.779999,6727200,267.619995
2019-10-01,267.350006,272.200012,264.029999,8650300,269.579987
2019-10-02,263.609985,269.350006,262.190002,7659100,268.029999
2019-10-03,267.779999,268.839996,257.01001,8951000,268.149994
2019-10-04,268.200012,275.480011,266.470001,9890400,272.790009
2019-10-07,271.98999,276.679993,271.279999,6525600,274.459991
2019-10-08,273.029999,275.529999,270.640015,6276400,270.720001
2019-10-09,270.019989,271.0,264.570007,6794400,267.529999
2019-10-10,265.970001,280.529999,265.029999,10809100,280.480011
2019-10-11,284.799988,287.869995,282.339996,8786100,282.929993
2019-10-14,283.929993,286.929993,282.0,5513200,285.529999
2019-10-15,283.820007,285.869995,279.399994,7685600,284.25
2019-10-16,283.119995,288.170013,280.73999,16175900,286.279999
2019-10-17,304.48999,308.75,288.299988,38258900,293.350006
2019-10-18,289.359985,290.899994,273.359985,23429900,275.299988
2019-10-21,272.890015,279.940002,269.0,12599200,278.049988
2019-10-22,271.160004,275.410004,265.799988,11802400,266.690002
2019-10-23,268.059998,273.920013,266.630005,7133500,271.269989
2019-10-24,271.809998,274.019989,268.799988,4827400,271.5
2019-10-25,270.679993,277.769989,270.179993,4747800,276.820007
2019-10-28,278.049988,285.75,277.350006,6248400,281.859985
2019-10-29,281.869995,284.410004,277.549988,4356200,281.209991
2019-10-30,284.339996,293.48999,283.0,9345600,291.450012
2019-10-31,291.0,291.450012,284.779999,5090000,287.410004
2019-11-01,288.700012,289.119995,283.019989,5594300,286.809998
2019-11-04,288.0,295.390015,287.160004,5566200,292.859985
2019-11-05,289.98999,291.190002,286.309998,4062400,288.029999
2019-11-06,288.190002,290.559998,285.839996,3438300,288.589996
2019-11-07,290.700012,298.190002,288.269989,5928500,289.570007
2019-11-08,288.730011,293.98999,287.51001,4509000,291.570007
2019-11-11,289.160004,296.359985,288.5,3944300,294.179993
2019-11-12,295.320007,295.350006,288.700012,5772800,292.01001
2019-11-13,291.029999,293.410004,281.140015,9158900,283.109985
2019-11-14,283.25,290.630005,283.220001,6529000,289.619995
2019-11-15,290.589996,295.820007,287.570007,6333800,295.029999
2019-11-18,296.0,304.98999,293.279999,8616600,302.570007
2019-11-19,304.01001,305.670013,298.519989,5918000,302.600006
2019-11-20,301.01001,308.25,301.0,5111800,305.160004
2019-11-21,306.0,312.690002,304.26001,7488400,311.690002
2019-11-22,309.100006,311.399994,304.410004,5970100,310.480011
2019-11-25,308.829987,315.730011,305.25,7873900,315.549988
